Sample	Frequency	Magnitude	Phase	Marker	Timestamp
304	1204.504	90.08236	-17.09881	 	20:34:26
305	1261.857	89.53401	-16.64422	 	20:34:26
306	1321.941	88.7914	-16.49639	 	20:34:26
307	1384.886	88.37563	-15.83221	 	20:34:26
308	1450.829	87.77394	-15.44306	 	20:34:27
309	1519.911	87.28898	-15.20894	 	20:34:27
310	1592.283	86.53855	-14.75684	 	20:34:27
311	1668.101	86.14707	-14.28208	 	20:34:27
312	1747.528	85.6264	-14.0392	 	20:34:27
313	1830.738	85.26448	-13.60883	 	20:34:27
314	1917.91	84.98492	-13.27901	 	20:34:28
315	2009.233	84.23612	-12.8581	 	20:34:28
316	2104.904	83.99599	-12.5297	 	20:34:28
317	2205.131	83.65057	-12.14375	 	20:34:28
318	2310.13	83.20615	-11.90379	 	20:34:28
319	2420.128	82.72084	-11.57129	 	20:34:28
320	2535.365	82.32502	-11.29138	 	20:34:29
321	2656.088	82.01492	-11.01381	 	20:34:29
322	2782.559	81.79408	-10.752	 	20:34:29
323	2915.053	81.39263	-10.49223	 	20:34:29
324	3053.855	81.19664	-10.12228	 	20:34:29
325	3199.267	80.9668	-9.851311	 	20:34:29
326	3351.603	80.59372	-9.730084	 	20:34:29
327	3511.192	80.30883	-9.392961	 	20:34:30
328	3678.38	80.12865	-9.196514	 	20:34:30
329	3853.529	79.83731	-8.947291	 	20:34:30
330	4037.017	79.55729	-8.733875	 	20:34:30
331	4229.243	79.30029	-8.539225	 	20:34:30
332	4430.622	79.07761	-8.355749	 	20:34:30
333	4641.589	78.77796	-8.109266	 	20:34:31
334	4862.602	78.5865	-7.994176	 	20:34:31
335	5094.138	78.40331	-7.720757	 	20:34:31
336	5336.699	78.1722	-7.575775	 	20:34:31
337	5590.81	77.91963	-7.365922	 	20:34:31
338	5857.021	77.68262	-7.253909	 	20:34:31
339	6135.907	77.54081	-7.089487	 	20:34:32
340	6428.073	77.3456	-6.9811	 	20:34:32
341	6734.151	77.0454	-6.816784	 	20:34:32
342	7054.802	76.86756	-6.648201	 	20:34:32
343	7390.722	76.68582	-6.512268	 	20:34:32
344	7742.637	76.42893	-6.453045	 	20:34:32
345	8111.308	76.27535	-6.279737	 	20:34:33
346	8497.534	75.99532	-6.160389	 	20:34:33
347	8902.15	75.83463	-5.983563	 	20:34:33
348	9326.033	75.60989	-5.930185	 	20:34:33
349	9770.1	75.39255	-5.795231	 	20:34:33
350	10235.31	75.1704	-5.710053	 	20:34:33
351	10722.67	74.99464	-5.546792	 	20:34:34
352	11233.24	74.73334	-5.442729	 	20:34:34
353	11768.12	74.50935	-5.327951	 	20:34:34
354	12328.47	74.26634	-5.2109	 	20:34:34
355	12915.5	74.05824	-5.097295	 	20:34:34
356	13530.48	73.80337	-4.963547	 	20:34:34
357	14174.74	73.49833	-4.819318	 	20:34:35
358	14849.68	73.28199	-4.72449	 	20:34:35
359	15556.76	73.06094	-4.592509	 	20:34:35
360	16297.51	72.78644	-4.417131	 	20:34:35
361	17073.53	72.59024	-4.313244	 	20:34:35
362	17886.5	72.30204	-4.142462	 	20:34:35
363	18738.17	72.06631	-4.006008	 	20:34:35
364	19630.41	71.83146	-3.792501	 	20:34:36
365	20565.12	71.60895	-3.658215	 	20:34:36
366	21544.35	71.3568	-3.461383	 	20:34:36
367	22570.2	71.12525	-3.278168	 	20:34:36
368	23644.89	70.86481	-3.088448	 	20:34:36
369	24770.76	70.63319	-2.876914	 	20:34:37
370	25950.24	70.37277	-2.708728	 	20:34:37
371	27185.88	70.14533	-2.425482	 	20:34:37
372	28480.36	69.92889	-2.23876	 	20:34:37
373	29836.47	69.74039	-2.000087	 	20:34:37
374	31257.16	69.51574	-1.724865	 	20:34:37
375	32745.49	69.27509	-1.474429	 	20:34:37
376	34304.69	69.05922	-1.173543	 	20:34:38
377	35938.14	68.83644	-0.8681626	 	20:34:38
378	37649.36	68.5721	-0.5540915	 	20:34:38
379	39442.06	68.41579	-0.2074979	 	20:34:38
380	41320.12	68.17779	0.1239972	 	20:34:38
381	43287.61	67.9976	0.4890516	 	20:34:38
382	45348.79	67.83413	0.8919607	 	20:34:39
383	47508.1	67.63681	1.296617	 	20:34:39
384	49770.23	67.47593	1.730127	 	20:34:39
385	52140.08	67.22649	2.182893	 	20:34:39
386	54622.77	67.11813	2.600684	 	20:34:39
387	57223.68	67.01765	3.127331	 	20:34:39
388	59948.43	66.88217	3.614325	 	20:34:40
389	62802.91	66.75492	4.121039	 	20:34:40
390	65793.32	66.69765	4.642513	 	20:34:40
391	68926.12	66.56835	-354.7565	 	20:34:40
392	72208.09	66.50573	5.840086	 	20:34:40
393	75646.34	66.50178	6.397471	 	20:34:40
394	79248.29	66.46104	7.081546	 	20:34:41
395	83021.76	66.44322	7.689494	 	20:34:41
396	86974.9	66.49456	8.358586	 	20:34:41
397	91116.27	66.55158	9.104397	 	20:34:41
398	95454.84	66.5871	9.79421	 	20:34:41
399	100000	66.64497	10.50724	 	20:34:41
400	1000	93.27232	-19.22512	 	20:34:42
401	1047.616	92.49064	-18.82313	 	20:34:42
402	1097.499	91.55239	-18.36642	 	20:34:42
403	1149.757	91.17957	-17.9446	 	20:34:42
404	1204.504	90.12508	-17.48018	 	20:34:42
405	1261.857	89.57536	-17.01186	 	20:34:42
406	1321.941	89.22526	-16.35666	 	20:34:43
407	1384.886	88.41576	-16.17422	 	20:34:43
408	1450.829	87.82471	-15.78991	 	20:34:43
409	1519.911	87.41864	-15.22973	 	20:34:43
410	1592.283	86.85168	-14.92533	 	20:34:43
411	1668.101	86.44835	-14.44327	 	20:34:43
412	1747.528	85.9482	-14.20052	 	20:34:43
413	1830.738	85.5546	-13.76916	 	20:34:44
414	1917.91	84.88133	-13.40994	 	20:34:44
415	2009.233	84.53382	-13.01012	 	20:34:44
416	2104.904	84.0773	-12.79321	 	20:34:44
417	2205.131	83.7388	-12.37984	 	20:34:44
418	2310.13	83.46664	-12.02321	 	20:34:44
419	2420.128	82.98161	-11.69465	 	20:34:45
420	2535.365	82.57767	-11.4081	 	20:34:45
421	2656.088	82.25992	-11.12396	 	20:34:45
422	2782.559	82.03188	-10.85567	 	20:34:45
423	2915.053	81.63177	-10.59811	 	20:34:45
424	3053.855	81.30202	-10.31724	 	20:34:45
425	3199.267	81.07246	-10.03824	 	20:34:46
426	3351.603	80.68358	-9.736683	 	20:34:46
427	3511.192	80.42332	-9.571624	 	20:34:46
428	3678.38	80.11104	-9.289008	 	20:34:46
429	3853.529	79.83033	-9.042818	 	20:34:46
430	4037.017	79.77003	-8.809622	 	20:34:46
431	4229.243	79.38992	-8.548718	 	20:34:47
432	4430.622	79.17867	-8.362743	 	20:34:47
433	4641.589	78.97541	-8.167583	 	20:34:47
434	4862.602	78.68076	-7.996758	 	20:34:47
435	5094.138	78.43198	-7.80149	 	20:34:47
436	5336.699	78.26723	-7.577974	 	20:34:47
437	5590.81	78.12001	-7.413078	 	20:34:48
438	5857.021	77.87846	-7.295067	 	20:34:48
439	6135.907	77.58255	-7.174078	 	20:34:48
440	6428.073	77.43146	-6.982344	 	20:34:48
441	6734.151	77.12524	-6.820678	 	20:34:48
442	7054.802	77.02367	-6.753413	 	20:34:48
443	7390.722	76.74652	-6.591717	 	20:34:49
444	7742.637	76.51874	-6.459814	 	20:34:49
445	8111.308	76.26244	-6.274539	 	20:34:49
446	8497.534	76.07883	-6.165956	 	20:34:49
447	8902.15	75.81693	-6.056087	 	20:34:49
448	9326.033	75.69654	-5.878624	 	20:34:49
449	9770.1	75.46777	-5.805477	 	20:34:50
450	10235.31	75.24576	-5.658991	 	20:34:50
451	10722.67	74.98662	-5.561135	 	20:34:50
452	11233.24	74.80997	-5.452018	 	20:34:50
453	11768.12	74.58521	-5.337896	 	20:34:50
454	12328.47	74.34097	-5.217375	 	20:34:50
455	12915.5	74.10504	-5.050488	 	20:34:51
456	13530.48	73.8792	-4.974121	 	20:34:51
457	14174.74	73.57477	-4.829563	 	20:34:51
458	14849.68	73.41666	-4.70973	 	20:34:51
459	15556.76	73.09498	-4.558809	 	20:34:51
460	16297.51	72.85477	-4.429986	 	20:34:51
461	17073.53	72.62093	-4.287453	 	20:34:52
462	17886.5	72.41548	-4.120978	 	20:34:52
463	18738.17	72.1785	-3.985247	 	20:34:52
464	19630.41	71.90414	-3.807445	 	20:34:52
465	20565.12	71.61749	-3.642372	 	20:34:52
466	21544.35	71.42284	-3.474596	 	20:34:52
467	22570.2	71.2121	-3.247049	 	20:34:52
468	23644.89	70.94025	-3.056115	 	20:34:53
469	24770.76	70.76379	-2.85692	 	20:34:53
470	25950.24	70.49897	-2.678625	 	20:34:53
471	27185.88	70.26529	-2.394661	 	20:34:53
472	28480.36	70.0395	-2.198074	 	20:34:53
473	29836.47	69.84164	-1.956432	 	20:34:53
474	31257.16	69.60714	-1.675928	 	20:34:54
475	32745.49	69.4594	-1.387653	 	20:34:54
476	34304.69	69.17672	-1.100891	 	20:34:54
477	35938.14	68.93369	-0.7849846	 	20:34:54
478	37649.36	68.77198	-0.5009287	 	20:34:54
479	39442.06	68.55377	-0.1105604	 	20:34:54
480	41320.12	68.29306	0.2354317	 	20:34:55
481	43287.61	68.14201	0.591361	 	20:34:55
482	45348.79	67.94231	0.9635889	 	20:34:55
483	47508.1	67.78257	1.37093	 	20:34:55
484	49770.23	67.654	1.831637	 	20:34:55
485	52140.08	67.4549	2.268879	 	20:34:55
486	54622.77	67.31918	2.724912	 	20:34:56
487	57223.68	67.22555	3.237639	 	20:34:56
488	59948.43	67.10014	3.725712	 	20:34:56
489	62802.91	66.98919	4.237084	 	20:34:56
490	65793.32	66.95206	4.786303	 	20:34:56
491	68926.12	66.89153	-354.6238	 	20:34:56
492	72208.09	66.86246	5.941842	 	20:34:57
493	75646.34	66.68172	6.577556	 	20:34:57
494	79248.29	66.6602	7.214243	 	20:34:57
495	83021.76	66.68619	7.877051	 	20:34:57
496	86974.9	66.70219	8.53462	 	20:34:57
497	91116.27	66.88379	9.203065	 	20:34:57
498	95454.84	67.14379	9.801047	 	20:34:58
499	100000	67.39803	10.4878	 	20:34:58
500	1000	94.38481	-19.53574	 	20:34:58
501	1047.616	93.54519	-19.09962	 	20:34:58
502	1097.499	92.92594	-18.48797	 	20:34:58
503	1149.757	91.90095	-18.01236	 	20:34:58
504	1204.504	91.42132	-17.58355	 	20:34:58
505	1261.857	90.78851	-17.11723	 	20:34:59
506	1321.941	90.09218	-16.60481	 	20:34:59
507	1384.886	89.56119	-16.26043	 	20:34:59
508	1450.829	88.68337	-15.70104	 	20:34:59
509	1519.911	88.18876	-15.44649	 	20:34:59
510	1592.283	87.87603	-15.00889	 	20:34:59
511	1668.101	87.19369	-14.64787	 	20:35:0
512	1747.528	86.8729	-14.27633	 	20:35:0
513	1830.738	86.46373	-13.83189	 	20:35:0
514	1917.91	85.75502	-13.46584	 	20:35:0
515	2009.233	85.37405	-13.05945	 	20:35:0
516	2104.904	84.88546	-12.83456	 	20:35:0
517	2205.131	84.52544	-12.42597	 	20:35:1
518	2310.13	84.23276	-12.07275	 	20:35:1
519	2420.128	83.71024	-11.72634	 	20:35:1
520	2535.365	83.27898	-11.43242	 	20:35:1
521	2656.088	82.9438	-11.15004	 	20:35:1
522	2782.559	82.70326	-10.86809	 	20:35:1
523	2915.053	82.27831	-10.60303	 	20:35:2
524	3053.855	82.05163	-10.22003	 	20:35:2
525	3199.267	81.67213	-10.02879	 	20:35:2
526	3351.603	81.39918	-9.807539	 	20:35:2
527	3511.192	81.22222	-9.540247	 	20:35:2
528	3678.38	80.88837	-9.254393	 	20:35:2
529	3853.529	80.4763	-9.079346	 	20:35:3
530	4037.017	80.39466	-8.835235	 	20:35:3
531	4229.243	80.11918	-8.629041	 	20:35:3
532	4430.622	79.87874	-8.433681	 	20:35:3
533	4641.589	79.55408	-8.170916	 	20:35:3
534	4862.602	79.33877	-8.038941	 	20:35:3
535	5094.138	79.08436	-7.837895	 	20:35:4
536	5336.699	78.89468	-7.605677	 	20:35:4
