Sample	Magnitude	Phase	Marker	Hours
0.0509999999999998	259.115814	10.225737	 	17:32:47
0.0511999999999998	257.720764	24.775143	 	17:32:47
0.0513999999999998	260.685638	39.552299	 	17:32:47
0.0515999999999998	259.824951	53.923992	 	17:32:47
0.0517999999999998	258.683197	68.692154	 	17:32:47
0.0519999999999998	258.862885	83.12207	 	17:32:47
0.0521999999999998	259.372314	97.755219	 	17:32:47
0.0523999999999998	258.311829	112.295685	 	17:32:48
0.0525999999999998	257.800323	126.958801	 	17:32:48
0.0527999999999998	256.124969	141.340195	 	17:32:48
0.0529999999999998	260.647278	156.483902	 	17:32:48
0.0531999999999998	258.118195	171.085083	 	17:32:48
0.0533999999999998	257.217804	-174.422409	 	17:32:48
0.0535999999999998	258.44342	-160.092651	 	17:32:48
0.0537999999999998	257.670319	-145.754868	 	17:32:48
0.0539999999999998	258.698669	-131.081757	 	17:32:48
0.0541999999999998	257.598511	-116.266632	 	17:32:48
0.0543999999999998	259.268188	-101.569977	 	17:32:48
0.0545999999999998	257.381042	-86.881912	 	17:32:48
0.0547999999999998	259.32605	-72.263748	 	17:32:49
0.0549999999999998	257.474274	-57.853088	 	17:32:49
0.0551999999999998	258.940155	-43.122124	 	17:32:49
0.0553999999999998	260.017303	-28.733564	 	17:32:49
0.0555999999999998	258.544006	-13.874997	 	17:32:49
0.0557999999999998	260.00769	0.440728	 	17:32:49
0.0559999999999998	259.083008	15.216328	 	17:32:49
0.0561999999999998	256.25769	29.966742	 	17:32:49
0.0563999999999998	257.421844	44.055649	 	17:32:49
0.0565999999999998	257.07782	58.845131	 	17:32:49
0.0567999999999998	257.001953	73.962738	 	17:32:49
0.0569999999999998	257.095306	88.439804	 	17:32:50
0.0571999999999998	256.955261	102.359512	 	17:32:50
0.0573999999999998	258.940155	116.861931	 	17:32:50
0.0575999999999998	259.268188	131.56012	 	17:32:50
0.0577999999999998	260.432343	146.431961	 	17:32:50
0.0579999999999998	257.769287	160.510651	 	17:32:50
0.0581999999999998	258.698669	175.788162	 	17:32:50
0.0583999999999998	257.955414	-169.95343	 	17:32:50
0.0585999999999998	257.720764	-155.224854	 	17:32:50
0.0587999999999998	258.642609	-140.648239	 	17:32:50
0.0589999999999998	258.211151	-126.337341	 	17:32:50
0.0591999999999998	258.118195	-111.595314	 	17:32:50
0.0593999999999998	259.976929	-97.070351	 	17:32:51
0.0595999999999998	258.3815	-82.214867	 	17:32:51
0.0597999999999997	260.163422	-67.871429	 	17:32:51
0.0599999999999997	318.211151	-53.662663	Peak	17:32:51
0.0601999999999997	259.878815	-38.281055	 	17:32:51
0.0603999999999997	257.390747	-24.075499	 	17:32:51
0.0605999999999997	260.572449	-9.49847	 	17:32:51
0.0607999999999997	261.01532	5.055314	 	17:32:51
0.0609999999999997	256.826782	19.563782	 	17:32:51
0.0611999999999997	258.234375	34.428535	 	17:32:51
0.0613999999999997	257.388824	49.253841	 	17:32:51
0.0615999999999997	261.191498	64.121689	 	17:32:51
0.0617999999999997	259.268188	78.430031	 	17:32:52
0.0619999999999997	258.327301	92.88456	 	17:32:52
0.0621999999999997	258.427948	107.102737	 	17:32:52
0.0623999999999997	259.699829	122.09893	 	17:32:52
0.0625999999999997	258.211151	136.726196	 	17:32:52
0.0627999999999997	259.1409	151.160141	 	17:32:52
0.0629999999999998	260.725922	166.017059	 	17:32:52
0.0631999999999998	258.001953	-179.777924	 	17:32:52
0.0633999999999998	257.598511	-165.154541	 	17:32:52
0.0635999999999998	258.750854	-150.85936	 	17:32:52
0.0637999999999998	258.118195	-135.784821	 	17:32:52
0.0639999999999998	258.321503	-122.0289	 	17:32:52
0.0641999999999998	259.383881	-107.037773	 	17:32:52
0.0643999999999998	259.192993	-92.211098	 	17:32:52
0.0645999999999998	256.955261	-77.640495	 	17:32:52
0.0647999999999998	257.614044	-62.738682	 	17:32:53
0.0649999999999998	259.187195	-48.127808	 	17:32:53
0.0651999999999998	260.155731	-33.873314	 	17:32:53
0.0653999999999998	258.712189	-19.415464	 	17:32:53
0.0655999999999998	259.849945	-4.635463	 	17:32:53
0.0657999999999998	258.76825	9.789931	 	17:32:53
0.0659999999999998	257.800323	24.278414	 	17:32:53
0.0661999999999998	258.642609	39.351753	 	17:32:53
0.0663999999999998	257.619873	53.841816	 	17:32:53
0.0665999999999999	258.118195	68.404694	 	17:32:53
0.0667999999999999	259.110016	82.682999	 	17:32:53
0.0669999999999999	257.126434	97.373772	 	17:32:53
0.0671999999999999	257.007782	112.173996	 	17:32:54
0.0673999999999999	259.017365	126.206268	 	17:32:54
0.0675999999999999	258.156921	141.132233	 	17:32:54
0.0677999999999999	258.304077	156.014984	 	17:32:54
0.0679999999999999	258.76825	170.210083	 	17:32:54
0.0681999999999999	258.936279	-175.126099	 	17:32:54
0.0683999999999999	259.988464	-160.449936	 	17:32:54
0.0685999999999999	259.059845	-145.696518	 	17:32:54
0.0687999999999999	260.109589	-131.103043	 	17:32:54
0.0689999999999999	258.940155	-116.861931	 	17:32:54
0.0691999999999999	260.099976	-102.433235	 	17:32:54
0.0693999999999999	257.235291	-87.549156	 	17:32:54
0.0695999999999999	260.63385	-72.81646	 	17:32:54
0.0697999999999999	258.321503	-57.971107	 	17:32:55
0.07	259.586212	-43.595207	 	17:32:55
0.0702	259.1409	-28.839851	 	17:32:55
0.0704	260.96936	-14.19599	 	17:32:55
0.0706	259.001923	0.221218	 	17:32:55
0.0708	257.856537	15.060236	 	17:32:55
0.071	256.906586	28.859646	 	17:32:55
0.0712	258.816528	44.37384	 	17:32:55
0.0714	258.642609	58.276398	 	17:32:55
0.0716	258.13562	73.109413	 	17:32:55
0.0718	257.328583	87.10424	 	17:32:55
0.072	258.698669	102.048355	 	17:32:56
0.0722	257.157532	117.063271	 	17:32:56
0.0724	258.605865	131.394363	 	17:32:56
0.0726	257.937988	146.063507	 	17:32:56
0.0728	256.826782	160.436218	 	17:32:56
0.073	256.78006	175.532837	 	17:32:56
0.0732	259.753723	-170.247574	 	17:32:56
0.0734	259.048248	-155.11673	 	17:32:56
0.0736000000000001	260.342072	-141.237076	 	17:32:56
0.0738000000000001	259.609314	-126.384361	 	17:32:56
0.0740000000000001	258.487915	-111.801414	 	17:32:56
0.0742000000000001	257.126434	-97.373772	 	17:32:56
0.0744000000000001	259.976929	-82.929657	 	17:32:56
0.0746000000000001	259.416656	-68.280624	 	17:32:57
0.0748000000000001	258.001953	-53.35218	 	17:32:57
0.0750000000000001	258.785614	-39.040161	 	17:32:57
0.0752000000000001	256.889069	-24.370121	 	17:32:57
0.0754000000000001	258.76825	-9.789931	 	17:32:57
0.0756000000000001	256.943573	4.911788	 	17:32:57
0.0758000000000001	258.3815	19.206327	 	17:32:57
0.0760000000000001	257.108917	34.060909	 	17:32:57
0.0762000000000001	259.356903	48.751732	 	17:32:57
0.0764000000000001	258.073639	62.541332	 	17:32:57
