Sample	Frequency	Magnitude	Phase	Marker	Timestamp
309	1519.911	5006.744	0.06931309	 	19:11:31
310	1592.283	5006.352	0.07194466	 	19:11:32
311	1668.101	5006.746	0.07646855	 	19:11:32
312	1747.528	5006.613	0.08353768	 	19:11:32
313	1830.738	5006.595	0.08833098	 	19:11:32
314	1917.91	5006.657	0.08070275	 	19:11:32
315	2009.233	5007.001	0.08349768	 	19:11:32
316	2104.904	5007.355	0.09227562	 	19:11:33
317	2205.131	5007.505	0.08459347	 	19:11:33
318	2310.13	5007.215	0.09544578	 	19:11:33
319	2420.128	5007.719	0.1018811	 	19:11:33
320	2535.365	5007.679	0.1037182	 	19:11:33
321	2656.088	5007.984	0.1038215	 	19:11:33
322	2782.559	5008.498	0.107416	 	19:11:33
323	2915.053	5008.732	0.1128489	 	19:11:34
324	3053.855	5008.424	0.1192455	 	19:11:34
325	3199.267	5008.78	0.1137685	 	19:11:34
326	3351.603	5009.07	0.1204929	 	19:11:34
327	3511.192	5009.92	0.1275036	 	19:11:34
328	3678.38	5010.017	0.1291793	 	19:11:34
329	3853.529	5010.316	0.1381725	 	19:11:35
330	4037.017	5010.009	0.1385489	 	19:11:35
331	4229.243	5010.591	0.1374642	 	19:11:35
332	4430.622	5010.998	0.1412206	 	19:11:35
333	4641.589	5011.278	0.1422909	 	19:11:35
334	4862.602	5011.751	0.1484886	 	19:11:35
335	5094.138	5011.947	0.1486448	 	19:11:36
336	5336.699	5012.44	0.1506626	 	19:11:36
337	5590.81	5012.374	0.1588449	 	19:11:36
338	5857.021	5013.1	0.1579663	 	19:11:36
339	6135.907	5013.236	0.1602934	 	19:11:36
340	6428.073	5013.46	0.1586101	 	19:11:36
341	6734.151	5013.725	0.1633116	 	19:11:37
342	7054.802	5014.324	0.1701616	 	19:11:37
343	7390.722	5014.644	0.1672719	 	19:11:37
344	7742.637	5014.651	0.1710294	 	19:11:37
345	8111.308	5015.144	0.1738754	 	19:11:37
346	8497.534	5015.229	0.1785587	 	19:11:37
347	8902.15	5015.623	0.1862547	 	19:11:38
348	9326.033	5015.98	0.1864148	 	19:11:38
349	9770.1	5016.796	0.1929002	 	19:11:38
350	10235.31	5017.121	0.1984337	 	19:11:38
351	10722.67	5017.246	0.1978311	 	19:11:38
